Generations:
0: ((21, 2, 19, 10, 14, 20, 13, 15, 18, 17, 5, 16, 6, 1, 11, 7, 4, 12, 0, 9, 23, 8, 24, 22, 3), 1024)
1: ((21, 2, 19, 10, 14, 20, 13, 15, 18, 17, 5, 16, 6, 1, 11, 7, 4, 12, 0, 9, 23, 8, 24, 22, 3), 1024)
2: ((22, 5, 19, 21, 10, 18, 8, 1, 9, 2, 12, 4, 7, 20, 11, 3, 14, 17, 16, 13, 6, 0, 23, 15, 24), 1017)
3: ((21, 7, 15, 4, 17, 16, 11, 23, 12, 18, 10, 3, 2, 22, 14, 13, 1, 9, 19, 24, 0, 8, 20, 5, 6), 1015)
4: ((21, 7, 15, 4, 17, 16, 11, 23, 12, 18, 10, 3, 2, 22, 14, 13, 1, 9, 19, 24, 0, 8, 20, 5, 6), 1015)
5: ((22, 5, 19, 21, 9, 10, 18, 8, 2, 12, 4, 7, 20, 11, 3, 14, 17, 23, 13, 6, 0, 1, 16, 24, 15), 985)
6: ((22, 6, 5, 21, 14, 24, 8, 23, 1, 2, 10, 0, 7, 18, 16, 12, 13, 17, 19, 3, 15, 11, 20, 4, 9), 1013)
7: ((22, 6, 5, 21, 14, 24, 8, 23, 1, 2, 10, 0, 7, 18, 16, 12, 13, 17, 19, 3, 15, 11, 20, 4, 9), 1013)
8: ((24, 0, 5, 19, 21, 9, 10, 18, 8, 2, 12, 4, 7, 20, 11, 3, 15, 14, 17, 6, 23, 22, 16, 1, 13), 1012)
9: ((24, 0, 5, 19, 21, 9, 10, 18, 8, 12, 4, 7, 20, 11, 3, 15, 14, 17, 6, 23, 22, 16, 1, 2, 13), 1005)
10: ((14, 7, 4, 10, 24, 13, 16, 6, 21, 9, 19, 3, 2, 1, 15, 12, 20, 8, 0, 11, 5, 18, 23, 22, 17), 1004)
11: ((14, 7, 4, 10, 24, 13, 16, 6, 21, 9, 19, 3, 2, 1, 15, 12, 20, 8, 0, 11, 5, 18, 23, 22, 17), 1004)
12: ((15, 5, 19, 21, 22, 12, 16, 23, 0, 3, 9, 6, 13, 18, 1, 7, 4, 14, 8, 20, 2, 17, 24, 10, 11), 986)
