Generations:
0: ((3, 0, 2, 4, 1), 527)
1: ((3, 0, 1, 4, 2), 527)
2: ((0, 3, 1, 4, 2), 527)
3: ((0, 3, 1, 4, 2), 527)
4: ((0, 3, 1, 4, 2), 527)
5: ((0, 3, 1, 4, 2), 527)
6: ((3, 4, 2, 0, 1), 527)
7: ((3, 4, 1, 2, 0), 527)
8: ((0, 4, 3, 1, 2), 527)
9: ((0, 4, 3, 1, 2), 527)
10: ((3, 1, 2, 0, 4), 527)
11: ((0, 3, 1, 2, 4), 527)
12: ((0, 3, 1, 2, 4), 527)
13: ((0, 3, 1, 2, 4), 527)
14: ((0, 3, 1, 2, 4), 527)
15: ((0, 3, 1, 2, 4), 527)
16: ((0, 3, 1, 2, 4), 527)
17: ((3, 1, 2, 0, 4), 527)
18: ((0, 3, 4, 2, 1), 527)
19: ((0, 3, 4, 2, 1), 527)
20: ((3, 0, 2, 1, 4), 527)
21: ((3, 0, 2, 1, 4), 527)
22: ((3, 0, 2, 1, 4), 527)
23: ((3, 0, 2, 1, 4), 527)
24: ((3, 0, 2, 1, 4), 527)
25: ((3, 0, 2, 1, 4), 527)
26: ((3, 0, 2, 1, 4), 527)
27: ((0, 3, 1, 2, 4), 527)
28: ((0, 3, 1, 2, 4), 527)
29: ((3, 0, 2, 4, 1), 527)
30: ((3, 0, 2, 4, 1), 527)
31: ((3, 0, 2, 4, 1), 527)
32: ((3, 0, 2, 4, 1), 527)
33: ((3, 0, 2, 4, 1), 527)
34: ((3, 2, 4, 0, 1), 527)
35: ((3, 0, 2, 1, 4), 527)
36: ((3, 0, 2, 1, 4), 527)
37: ((3, 0, 2, 1, 4), 527)
38: ((0, 3, 1, 4, 2), 527)
39: ((3, 1, 2, 4, 0), 527)
40: ((4, 3, 0, 1, 2), 527)
41: ((4, 3, 0, 1, 2), 527)
42: ((4, 3, 0, 1, 2), 527)
43: ((4, 3, 0, 1, 2), 527)
44: ((3, 2, 0, 1, 4), 527)
45: ((3, 2, 0, 1, 4), 527)
46: ((3, 2, 0, 1, 4), 527)
47: ((3, 1, 4, 0, 2), 527)
48: ((3, 4, 2, 0, 1), 527)
49: ((4, 3, 0, 1, 2), 527)
50: ((4, 3, 0, 1, 2), 527)
51: ((4, 3, 0, 1, 2), 527)
52: ((3, 1, 4, 2, 0), 527)
53: ((3, 1, 4, 2, 0), 527)
54: ((4, 3, 2, 0, 1), 527)
55: ((3, 0, 4, 2, 1), 527)
56: ((0, 3, 4, 1, 2), 527)
57: ((3, 4, 1, 0, 2), 527)
58: ((3, 4, 1, 0, 2), 527)
59: ((3, 0, 2, 1, 4), 527)
60: ((3, 4, 2, 1, 0), 527)
61: ((3, 4, 2, 1, 0), 527)
62: ((3, 4, 2, 1, 0), 527)
63: ((3, 4, 2, 1, 0), 527)
64: ((3, 4, 2, 1, 0), 527)
65: ((3, 1, 2, 4, 0), 527)
66: ((3, 1, 2, 4, 0), 527)
67: ((3, 4, 0, 2, 1), 527)
68: ((3, 1, 2, 0, 4), 527)
69: ((3, 1, 2, 0, 4), 527)
70: ((3, 1, 2, 0, 4), 527)
71: ((3, 4, 2, 1, 0), 527)
72: ((4, 3, 0, 1, 2), 527)
73: ((3, 4, 2, 0, 1), 527)
74: ((3, 4, 2, 0, 1), 527)
75: ((3, 4, 2, 0, 1), 527)
76: ((0, 3, 4, 2, 1), 527)
77: ((0, 3, 4, 2, 1), 527)
78: ((0, 3, 4, 2, 1), 527)
79: ((0, 3, 4, 2, 1), 527)
80: ((0, 3, 4, 2, 1), 527)
81: ((0, 3, 4, 2, 1), 527)
82: ((0, 3, 4, 1, 2), 527)
83: ((0, 3, 4, 1, 2), 527)
84: ((4, 3, 1, 2, 0), 527)
85: ((4, 3, 1, 2, 0), 527)
86: ((4, 3, 1, 2, 0), 527)
87: ((4, 3, 1, 2, 0), 527)
88: ((4, 3, 1, 2, 0), 527)
89: ((3, 4, 0, 2, 1), 527)
90: ((3, 4, 0, 2, 1), 527)
91: ((4, 3, 1, 0, 2), 527)
92: ((3, 1, 4, 0, 2), 527)
93: ((3, 1, 4, 0, 2), 527)
94: ((3, 1, 2, 0, 4), 527)
95: ((0, 3, 1, 4, 2), 527)
96: ((0, 3, 1, 4, 2), 527)
97: ((0, 3, 1, 4, 2), 527)
98: ((0, 3, 1, 4, 2), 527)
99: ((4, 3, 2, 0, 1), 527)
100: ((4, 3, 2, 0, 1), 527)
Best: ((3, 0, 2, 4, 1), 527)
Runtime: 9.8086667 s
